Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer
Advisor/consultant - Explore new perspectives,0.6,0.3,0.1,0.8,0.6,0.1,0.6,0.6,0.1,0.3,0.1,0.5,0.8,0.9,0.9,0.3,0.2,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.3,0.1,0.1,0.2,0.2,0.2
Advisor/consultant - Meet Interesting People,0.7,0.4,0.2,0.8,0.7,0.2,0.7,0.7,0.2,0.4,0.2,0.6,0.8,0.9,0.9,0.4,0.3,0.1,0.4,0.4,0.3,0.5,0.4,0.3,0.4,0.2,0.2,0.3,0.3,0.2
Advisor/consultant - Start a Company,0.9,0.5,0.2,0.9,0.7,0.2,0.9,0.7,0.2,0.5,0.2,0.6,0.9,0.9,0.9,0.5,0.4,0.1,0.5,0.5,0.2,0.4,0.6,0.2,0.5,0.2,0.2,0.2,0.2,0.2
Advisor/consultant - Provide Job opportunities,0.6,0.4,0.1,0.7,0.6,0.1,0.6,0.6,0.1,0.4,0.1,0.4,0.7,0.8,0.8,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.3,0.3,0.1
Advisor/consultant - Explore job opportunities,0.6,0.3,0.2,0.6,0.6,0.2,0.6,0.6,0.2,0.3,0.2,0.6,0.6,0.6,0.6,0.3,0.2,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.3,0.2,0.2,0.3,0.3,0.2
Advisor/consultant - Invest in companies / make investor introductions,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.3,0.3,0.1,0.3,0.4,0.1,0.3,0.1,0.2,0.3,0.3,0.2
Advisor/consultant - Make investor relations,0.4,0.4,0.1,0.6,0.6,0.1,0.4,0.6,0.1,0.4,0.1,0.3,0.6,0.6,0.6,0.4,0.2,0.1,0.4,0.4,0.1,0.4,0.3,0.1,0.4,0.1,0.1,0.1,0.1,0.1
Advisor/consultant - Mentor others,0.6,0.4,0.1,0.7,0.5,0.1,0.6,0.5,0.1,0.4,0.1,0.4,0.7,0.7,0.7,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.2,0.2,0.2
Advisor/consultant - Mentor people,0.6,0.4,0.1,0.7,0.5,0.1,0.6,0.5,0.1,0.4,0.1,0.4,0.7,0.7,0.7,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.2,0.2,0.2
Advisor/consultant - Find a mentor,0.7,0.4,0.1,0.8,0.6,0.1,0.7,0.6,0.1,0.4,0.1,0.6,0.8,0.9,0.9,0.4,0.3,0.1,0.4,0.4,0.1,0.4,0.6,0.1,0.4,0.1,0.1,0.3,0.3,0.2
Advisor/consultant - Share my industry experties,0.6,0.4,0.1,0.7,0.5,0.1,0.6,0.5,0.1,0.4,0.1,0.4,0.7,0.7,0.7,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.2,0.2,0.2
Advisor/consultant - Learn about specific industries,0.7,0.4,0.1,0.8,0.6,0.1,0.7,0.6,0.1,0.4,0.1,0.6,0.8,0.9,0.9,0.4,0.3,0.1,0.4,0.4,0.1,0.4,0.6,0.1,0.4,0.1,0.1,0.3,0.3,0.2
Advisor/consultant - Share product or technical knowledge,0.6,0.4,0.1,0.7,0.5,0.1,0.6,0.5,0.1,0.4,0.1,0.4,0.7,0.7,0.7,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.2,0.2,0.2
Advisor/consultant - Speak with product or technical experts,0.6,0.4,0.1,0.7,0.5,0.1,0.6,0.5,0.1,0.4,0.1,0.4,0.7,0.7,0.7,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.2,0.2,0.2
Advisor/consultant - Explore work & other partnerships,0.7,0.4,0.1,0.7,0.6,0.1,0.7,0.6,0.1,0.4,0.1,0.5,0.7,0.9,0.9,0.4,0.3,0.1,0.4,0.4,0.2,0.4,0.5,0.2,0.4,0.1,0.1,0.3,0.3,0.2
Advisor/consultant - Acquire customers,0.7,0.4,0.1,0.7,0.6,0.1,0.7,0.6,0.1,0.4,0.1,0.5,0.7,0.9,0.9,0.4,0.3,0.1,0.4,0.4,0.2,0.4,0.5,0.2,0.4,0.1,0.1,0.3,0.3,0.2
Advisor/consultant - Explore shared interests,0.7,0.4,0.2,0.8,0.6,0.2,0.7,0.6,0.2,0.4,0.2,0.4,0.8,0.8,0.8,0.4,0.3,0.1,0.4,0.4,0.2,0.3,0.5,0.2,0.4,0.2,0.2,0.2,0.2,0.3
Executives - Explore new perspectives,0.5,0.1,0.6,0.6,0.8,0.5,0.5,0.8,0.2,0.1,0.6,0.9,0.6,0.6,0.6,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Meet Interesting People,0.5,0.2,0.6,0.6,0.8,0.5,0.5,0.8,0.3,0.2,0.6,0.9,0.6,0.6,0.6,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.3,0.3,0.2,0.2,0.2
Executives - Start a Company,0.6,0.2,0.2,0.5,0.7,0.2,0.6,0.7,0.2,0.2,0.2,0.9,0.5,0.5,0.5,0.2,0.2,0.1,0.5,0.5,0.2,0.5,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2
Executives - Provide Job opportunities,0.5,0.1,0.1,0.5,0.8,0.1,0.5,0.8,0.1,0.1,0.1,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1
Executives - Explore job opportunities,0.5,0.1,0.6,0.5,0.7,0.5,0.5,0.7,0.2,0.1,0.6,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.4,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Invest in companies / make investor introductions,0.5,0.1,0.7,0.5,0.7,0.6,0.5,0.7,0.3,0.1,0.7,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.3,0.3,0.1,0.1,0.1
Executives - Make investor relations,0.4,0.1,0.1,0.5,0.7,0.1,0.4,0.7,0.1,0.1,0.1,0.7,0.5,0.5,0.5,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1
Executives - Mentor others,0.5,0.1,0.5,0.5,0.7,0.5,0.5,0.7,0.2,0.1,0.5,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Mentor people,0.5,0.1,0.5,0.5,0.7,0.5,0.5,0.7,0.2,0.1,0.5,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Find a mentor,0.5,0.1,0.5,0.6,0.8,0.5,0.5,0.8,0.3,0.1,0.5,0.9,0.6,0.6,0.6,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.6,0.1,0.3,0.3,0.1,0.1,0.1
Executives - Share my industry expertise,0.5,0.1,0.5,0.5,0.7,0.5,0.5,0.7,0.2,0.1,0.5,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Learn about specific industries,0.5,0.1,0.5,0.6,0.8,0.5,0.5,0.8,0.3,0.1,0.5,0.9,0.6,0.6,0.6,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.6,0.1,0.3,0.3,0.1,0.1,0.1
Executives - Share product or technical knowledge,0.5,0.1,0.5,0.5,0.7,0.5,0.5,0.7,0.2,0.1,0.5,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Speak with product or technical experts,0.5,0.1,0.5,0.5,0.7,0.5,0.5,0.7,0.2,0.1,0.5,0.9,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.1
Executives - Explore work & other partnerships,0.6,0.2,0.6,0.6,0.7,0.5,0.6,0.7,0.3,0.2,0.6,0.9,0.6,0.6,0.6,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.3,0.3,0.2,0.2,0.2
Executives - Acquire customers,0.6,0.2,0.6,0.6,0.7,0.5,0.6,0.7,0.3,0.2,0.6,0.9,0.6,0.6,0.6,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.3,0.3,0.2,0.2,0.2
Executives - Explore shared interests,0.5,0.2,0.6,0.5,0.7,0.4,0.5,0.7,0.2,0.2,0.6,0.9,0.5,0.5,0.5,0.2,0.2,0.1,0.3,0.3,0.2,0.3,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2
Designers - Explore new perspectives,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.3,0.1,0.1,0.1,0.2,0.1,0.7,0.1,0.2,0.1,0.1,0.9,0.2,0.2
Designers - Meet Interesting People,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.3,0.1,0.2,0.2,0.3,0.2,0.6,0.2,0.3,0.2,0.2,0.9,0.3,0.3
Designers - Start a Company,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.3,0.1,0.2,0.2,0.2,0.2,0.7,0.2,0.2,0.2,0.2,0.9,0.2,0.2
Designers - Provide Job opportunities,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.4,0.1,0.1,0.1,0.2,0.1,0.6,0.1,0.3,0.1,0.1,0.8,0.3,0.3
Designers - Explore job opportunities,0.1,0.5,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.8,0.2,0.1,0.1,0.1,0.1,0.8,0.3,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.2,0.2,0.2,0.8,0.2,0.2
Designers - Invest in companies / make investor introductions,0.1,0.5,0.3,0.1,0.1,0.3,0.1,0.1,0.3,0.9,0.3,0.1,0.1,0.1,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.2,0.2,0.3,0.9,0.2,0.2
Designers - Make investor relations,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.8,0.1,0.1
Designers - Mentor others,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.8,0.2,0.2
Designers - Mentor people,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.8,0.2,0.2
Designers - Find a mentor,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.9,0.1,0.1
Designers - Share my industry expertise,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.8,0.2,0.2
Designers - Learn about specific industries,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.9,0.1,0.1
Designers - Share product or technical knowledge,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.8,0.2,0.2
Designers - Speak with product or technical experts,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.8,0.2,0.2
Designers - Explore work & other partnerships,0.2,0.6,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.9,0.1,0.2,0.2,0.2,0.2,0.9,0.3,0.1,0.2,0.2,0.1,0.2,0.7,0.2,0.2,0.1,0.1,0.9,0.2,0.2
Designers - Acquire customers,0.2,0.6,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.9,0.1,0.2,0.2,0.2,0.2,0.9,0.3,0.1,0.2,0.2,0.1,0.2,0.7,0.2,0.2,0.1,0.1,0.9,0.2,0.2
Designers - Explore shared interests,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.8,0.3,0.1,0.2,0.2,0.1,0.2,0.7,0.2,0.2,0.2,0.2,0.8,0.2,0.2
Influencers - Explore new perspectives,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.1,0.1,0.4,0.1,0.8,0.1,0.4,0.1,0.1,0.3,0.6,0.5
Influencers - Meet Interesting People,0.2,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.4,0.6,0.8,0.2,0.2,0.5,0.2,0.7,0.3,0.5,0.2,0.2,0.3,0.5,0.6
Influencers - Start a Company,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.9,0.2,0.2,0.5,0.2,0.7,0.2,0.5,0.2,0.2,0.5,0.7,0.4
Influencers - Provide Job opportunities,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.8,0.1,0.1,0.4,0.1,0.6,0.1,0.4,0.1,0.1,0.6,0.6,0.6
Influencers - Explore job opportunities,0.1,0.5,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.1,0.1,0.4,0.6,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.2,0.2,0.2,0.5,0.4
Influencers - Invest in companies / make investor introductions,0.1,0.3,0.3,0.1,0.1,0.3,0.1,0.1,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.3,0.4,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.2,0.2,0.3,0.6,0.2
Influencers - Make investor relations,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.8,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Influencers - Mentor others,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.1,0.1,0.2,0.5,0.4
Influencers - Mentor people,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.1,0.1,0.2,0.5,0.4
Influencers - Find a mentor,0.1,0.6,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.3,0.2,0.2,0.2,0.4,0.6,0.8,0.1,0.1,0.4,0.1,0.7,0.3,0.4,0.1,0.1,0.3,0.4,0.3
Influencers - Share my industry expertise,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.1,0.1,0.2,0.5,0.4
Influencers - Learn about specific industries,0.1,0.6,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.3,0.2,0.2,0.2,0.4,0.6,0.8,0.1,0.1,0.4,0.1,0.7,0.3,0.4,0.1,0.1,0.3,0.4,0.3
Influencers - Share product or technical knowledge,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.1,0.1,0.2,0.5,0.4
Influencers - Speak with product or technical experts,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.1,0.1,0.3,0.1,0.7,0.1,0.3,0.1,0.1,0.2,0.5,0.4
Influencers - Explore work & other partnerships,0.2,0.7,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.6,0.8,0.2,0.2,0.4,0.2,0.8,0.2,0.4,0.1,0.1,0.2,0.6,0.4
Influencers - Acquire customers,0.2,0.7,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.6,0.8,0.2,0.2,0.4,0.2,0.8,0.2,0.4,0.1,0.1,0.2,0.6,0.4
Influencers - Explore shared interests,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.8,0.2,0.2,0.3,0.2,0.7,0.2,0.3,0.2,0.2,0.2,0.5,0.6
Designers & Marketers - Explore new perspectives,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.1,0.8,0.1,0.1,0.8,0.6,0.5
Designers & Marketers - Meet Interesting People,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.2,0.3,0.2,0.2,0.2,0.6,0.7,0.3,0.2,0.2,0.5,0.2,0.9,0.3,0.7,0.2,0.2,0.8,0.5,0.6
Designers & Marketers - Start a Company,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.5,0.7,0.4,0.2,0.2,0.5,0.2,0.9,0.2,0.8,0.2,0.2,0.7,0.7,0.4
Designers & Marketers - Provide Job opportunities,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.6,0.8,0.3,0.1,0.1,0.4,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.6,0.6
Designers & Marketers - Explore job opportunities,0.1,0.7,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.6,0.2,0.1,0.1,0.1,0.1,0.5,0.7,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.7,0.2,0.2,0.8,0.5,0.4
Designers & Marketers - Invest in companies / make investor introductions,0.1,0.8,0.3,0.1,0.1,0.3,0.1,0.1,0.3,0.6,0.3,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.7,0.2,0.2,0.8,0.6,0.2
Designers & Marketers - Make investor relations,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.2,0.2
Designers & Marketers - Mentor others,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.6,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.5,0.4
Designers & Marketers - Mentor people,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.6,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.5,0.4
Designers & Marketers - Find a mentor,0.1,0.8,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.7,0.1,0.3,0.2,0.2,0.2,0.5,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.3,0.7,0.1,0.1,0.8,0.4,0.3
Designers & Marketers - Share my industry expertise,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.6,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.5,0.4
Designers & Marketers - Learn about specific industries,0.1,0.8,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.7,0.1,0.3,0.2,0.2,0.2,0.5,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.3,0.7,0.1,0.1,0.8,0.4,0.3
Designers & Marketers - Share product or technical knowledge,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.6,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.5,0.4
Designers & Marketers - Speak with product or technical experts,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.6,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.7,0.1,0.1,0.8,0.5,0.4
Designers & Marketers - Explore work & other partnerships,0.2,0.8,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.7,0.1,0.2,0.2,0.2,0.2,0.5,0.7,0.2,0.2,0.2,0.4,0.2,0.9,0.2,0.7,0.1,0.1,0.7,0.6,0.4
Designers & Marketers - Acquire customers,0.2,0.8,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.7,0.1,0.2,0.2,0.2,0.2,0.5,0.7,0.2,0.2,0.2,0.4,0.2,0.9,0.2,0.7,0.1,0.1,0.7,0.6,0.4
Designers & Marketers - Explore shared interests,0.2,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.5,0.7,0.3,0.2,0.2,0.3,0.2,0.9,0.2,0.7,0.2,0.2,0.8,0.5,0.6
